,sample,herv_or_clade,cpm1,cpm2,color_column
101,AMS2,Clade_258,5.832179963291109,4.978204008587626,AMS2
102,AMS2,Clade_472,-1.5523528253174466,-inf,AMS2
103,AMS2,Clade_1197,-inf,-inf,AMS2
104,AMS2,Clade_1425,-inf,-inf,AMS2
105,AMS2,ERV_2634799,-inf,-inf,AMS2
106,AMS2,ERV_1391082,-inf,-inf,AMS2
107,AMS2,ERV_3890211,-inf,-inf,AMS2
108,AMS2,Clade_959,-inf,-inf,AMS2
109,AMS2,ERV_3626952,-inf,-inf,AMS2
110,AMS2,Clade_903,1.338018932578718,2.4110592605626526,AMS2
111,AMS2,ERV_2816893,-inf,-inf,AMS2
112,AMS2,Clade_1936,-3.631794366997284,-inf,AMS2
113,AMS2,Clade_1950,-inf,-inf,AMS2
114,AMS2,Clade_834,-2.533182078329173,-2.5305831620466526,AMS2
115,AMS2,Clade_1140,-0.6360620934432915,-1.144288800926761,AMS2
116,AMS2,ERV_1897873,-inf,-inf,AMS2
117,AMS2,ERV_1219889,-inf,-inf,AMS2
118,AMS2,Clade_751,-inf,-inf,AMS2
119,AMS2,Clade_1930,-1.6858842179419695,-inf,AMS2
120,AMS2,Clade_2943,-inf,-inf,AMS2
121,AMS2,ERV_2568039,-inf,-inf,AMS2
122,AMS2,Clade_2820,-2.245500005877392,-inf,AMS2
123,AMS2,Clade_2326,1.086704504297812,-0.9211452496125512,AMS2
124,AMS2,Clade_2549,1.992223139190056,0.17746703905555827,AMS2
125,AMS2,ERV_2226815,-inf,-inf,AMS2
126,AMS2,Clade_5,-3.631794366997284,-inf,AMS2
127,AMS2,ERV_3964591,-inf,-inf,AMS2
128,AMS2,Clade_1181,-2.245500005877392,-inf,AMS2
129,AMS2,Clade_2833,-2.245500005877392,-inf,AMS2
130,AMS2,Clade_1959,-2.245500005877392,-inf,AMS2
131,AMS2,Clade_1053,-inf,-inf,AMS2
132,AMS2,ERV_4262972,-inf,-inf,AMS2
133,AMS2,ERV_3004198,-inf,-inf,AMS2
