,sample,herv_or_clade,cpm1,cpm2,color_column
19821,SMS2,ERV_2166389,-inf,-inf,SMS2
19822,SMS2,ERV_2378265,-inf,-inf,SMS2
19823,SMS2,ERV_2994779,-3.027229947395816,-inf,SMS2
19824,SMS2,ERV_4228454,-inf,-inf,SMS2
19825,SMS2,ERV_4259318,-inf,-inf,SMS2
19826,SMS2,ERV_3220948,-inf,-inf,SMS2
19827,SMS2,ERV_1751219,-1.23547047816776,-inf,SMS2
19828,SMS2,ERV_1307792,-inf,-inf,SMS2
19829,SMS2,ERV_1903352,2.066520253410948,-0.24102177912128925,SMS2
19830,SMS2,ERV_4431369,-inf,-inf,SMS2
19831,SMS2,ERV_1989054,-inf,-inf,SMS2
19832,SMS2,ERV_2542935,-inf,-inf,SMS2
19833,SMS2,ERV_1045157,-3.7203771279557616,-inf,SMS2
19834,SMS2,ERV_4200560,-inf,-inf,SMS2
19835,SMS2,ERV_3876461,2.4366018576297956,-0.6464868872294537,SMS2
19836,SMS2,ERV_2879481,-3.7203771279557616,-inf,SMS2
19837,SMS2,ERV_1903808,-2.1109392155216593,-2.72592842890929,SMS2
19838,SMS2,ERV_4362351,-0.2863899234706136,-inf,SMS2
19839,SMS2,ERV_4439146,-inf,-inf,SMS2
19840,SMS2,ERV_2901821,-inf,-inf,SMS2
19841,SMS2,ERV_1871574,2.8002439996029365,-0.32803315611091904,SMS2
19842,SMS2,ERV_3608593,-1.23547047816776,-inf,SMS2
19843,SMS2,ERV_4446731,-inf,-inf,SMS2
19844,SMS2,ERV_1143818,-inf,-inf,SMS2
19845,SMS2,ERV_2948131,-inf,-inf,SMS2
19846,SMS2,ERV_1510362,-1.4177920349617141,-inf,SMS2
19847,SMS2,ERV_2138669,-3.027229947395816,-inf,SMS2
19848,SMS2,ERV_2829163,-inf,-inf,SMS2
19849,SMS2,ERV_2808445,-inf,-inf,SMS2
19850,SMS2,ERV_2339621,-inf,-inf,SMS2
19851,SMS2,ERV_3942545,-inf,-inf,SMS2
19852,SMS2,ERV_1824249,-inf,-inf,SMS2
19853,SMS2,ERV_2747423,-inf,-inf,SMS2
19854,SMS2,ERV_1257287,-inf,-inf,SMS2
19855,SMS2,ERV_2167871,-inf,-inf,SMS2
19856,SMS2,ERV_4069850,-0.22386956648927955,-inf,SMS2
19857,SMS2,ERV_2983756,-2.33408276683587,-inf,SMS2
