clade_or_herv,elements_within_herv_or_clade
ERV_2165233,ERV_2165233_LTR7_HERVH_int
ERV_1385283,ERV_1385283_LTR7_HERVH_int
Clade_7,LTR7-2_HERVH-2_int-2
ERV_1146317,ERV_1146317_LTR7_HERVH_int
ERV_2781786,ERV_2781786_LTR7_HERVH_int
Clade_8,LTR7-56_HERVH-57_int-57
Clade_9,LTR7-38_HERVH-38_int-38
Clade_10,LTR7-29_HERVH-29_int-29
Clade_11,LTR7-17_HERVH-17_int-17
Clade_12,LTR7-4_HERVH-4_int-4
ERV_3211482,ERV_3211482_LTR7_HERVH_int
Clade_13,LTR7-3_HERVH-3_int-3
ERV_3701501,ERV_3701501_LTR7_HERVH_int
Clade_14,LTR7-2_HERVH-2_int-2
ERV_3523683,ERV_3523683_LTR7_HERVH_int
ERV_2273687,ERV_2273687_LTR7_HERVH_int
Clade_15,LTR7-13_HERVH-13_int-13
Clade_16,LTR7-3_HERVH-3_int-3
ERV_1325723,ERV_1325723_LTR7_HERVH_int
Clade_17,LTR7-2_HERVH-2_int-2
ERV_3516415,ERV_3516415_LTR7_HERVH_int
ERV_3385586,ERV_3385586_LTR7_HERVH_int
Clade_18,LTR7-10_HERVH-10_int-10
ERV_3628902,ERV_3628902_LTR7_HERVH_int
Clade_19,LTR7-9_HERVH-9_int-9
Clade_20,LTR7-6_HERVH-6_int-6
Clade_21,LTR7-3_HERVH-3_int-3
ERV_4060294,ERV_4060294_LTR7_HERVH_int
Clade_22,LTR7-2_HERVH-2_int-2
ERV_3665279,ERV_3665279_LTR7_HERVH_int
ERV_1096515,ERV_1096515_LTR7_HERVH_int
Clade_23,LTR7-3_HERVH-3_int-3
ERV_3017825,ERV_3017825_LTR7_HERVH_int
Clade_24,LTR7-2_HERVH-2_int-2
ERV_3888924,ERV_3888924_LTR7_HERVH_int
ERV_3888894,ERV_3888894_LTR7_HERVH_int
Clade_25,LTR7-3_HERVH-3_int-3
ERV_2717011,ERV_2717011_LTR7_HERVH_int
Clade_26,LTR7-2_HERVH-2_int-2
ERV_3662727,ERV_3662727_LTR7_HERVH_int
ERV_2619180,ERV_2619180_LTR7_HERVH_int
Clade_27,LTR7-12_HERVH-12_int-12
Clade_28,LTR7-2_HERVH-2_int-2
ERV_3873664,ERV_3873664_LTR7_HERVH_int
ERV_1008069,ERV_1008069_LTR7_HERVH_int
Clade_29,LTR7-10_HERVH-10_int-10
ERV_1912291,ERV_1912291_LTR7_HERVH_int
Clade_30,LTR7-9_HERVH-9_int-9
Clade_31,LTR7-7_HERVH-7_int-7
Clade_32,LTR7-4_HERVH-4_int-4
ERV_4285467,ERV_4285467_LTR7_HERVH_int
Clade_33,LTR7-3_HERVH-3_int-3
ERV_4284632,ERV_4284632_LTR7_HERVH_int
Clade_34,LTR7-2_HERVH-2_int-2
ERV_4388567,ERV_4388567_LTR7_HERVH_int
ERV_4286935,ERV_4286935_LTR7_HERVH_int
Clade_35,LTR7-3_HERVH-3_int-3
ERV_3269503,ERV_3269503_LTR7_HERVH_int
Clade_36,LTR7-2_HERVH-2_int-2
ERV_2991944,ERV_2991944_LTR7_HERVH_int
ERV_2862405,ERV_2862405_LTR7_HERVH_int
Clade_37,LTR7-2_HERVH-2_int-2
ERV_3368022,ERV_3368022_LTR7_HERVH_int
ERV_3495100,ERV_3495100_LTR7_HERVH_int
Clade_38,LTR7-9_HERVH-9_int-9
ERV_2273185,ERV_2273185_LTR7_HERVH_int
Clade_39,LTR7-8_HERVH-8_int-8
Clade_40,LTR7-3_HERVH-3_int-3
ERV_3326181,ERV_3326181_LTR7_HERVH_int
Clade_41,LTR7-2_HERVH-2_int-2
ERV_2918104,ERV_2918104_LTR7_HERVH_int
ERV_3985839,ERV_3985839_LTR7_HERVH_int
Clade_42,LTR7-5_HERVH-5_int-5
ERV_2778797,ERV_2778797_LTR7_HERVH_int
Clade_43,LTR7-4_HERVH-4_int-4
ERV_4379059,ERV_4379059_LTR7_HERVH_int
Clade_44,LTR7-3_HERVH-3_int-3
ERV_3383444,ERV_3383444_LTR7_HERVH_int
Clade_45,LTR7-2_HERVH-2_int-2
ERV_1112932,ERV_1112932_LTR7_HERVH_int
ERV_3510352,ERV_3510352_LTR7_HERVH_int
Clade_46,LTR7-18_HERVH-19_int-19
ERV_3112486,ERV_3112486_LTR7_HERVH_int
Clade_47,LTR7-17_HERVH-18_int-18
Clade_48,LTR7-15_HERVH-16_int-16
Clade_49,LTR7-4_HERVH-5_int-5
Clade_50,LTR7-2_HERVH-2_int-2
ERV_4062599,ERV_4062599_LTR7_HERVH_int
ERV_3382866,ERV_3382866_LTR7_HERVH_int
Clade_51,HERVH-3_int-3_LTR7-2
ERV_2999607,ERV_2999607_LTR7_HERVH_int
Clade_52,HERVH-2_int-2_LTR7-1
ERV_2865441,ERV_2865441_HERVH_int
ERV_2999983,ERV_2999983_LTR7_HERVH_int
Clade_53,LTR7-11_HERVH-11_int-11
Clade_54,LTR7-9_HERVH-9_int-9
Clade_55,LTR7-5_HERVH-5_int-5
Clade_56,LTR7-3_HERVH-3_int-3
ERV_1096756,ERV_1096756_LTR7_HERVH_int
Clade_57,LTR7-2_HERVH-2_int-2
ERV_2238619,ERV_2238619_LTR7_HERVH_int
ERV_2093052,ERV_2093052_LTR7_HERVH_int
Clade_58,LTR7-2_HERVH-2_int-2
ERV_3532515,ERV_3532515_LTR7_HERVH_int
ERV_1025486,ERV_1025486_LTR7_HERVH_int
Clade_59,LTR7-4_HERVH-4_int-4
ERV_3852395,ERV_3852395_LTR7_HERVH_int
Clade_60,LTR7-3_HERVH-3_int-3
ERV_1348467,ERV_1348467_LTR7_HERVH_int
Clade_61,LTR7-2_HERVH-2_int-2
ERV_4078006,ERV_4078006_LTR7_HERVH_int
ERV_3850008,ERV_3850008_LTR7_HERVH_int
Clade_62,LTR7-2_HERVH-2_int-2
ERV_3057597,ERV_3057597_LTR7_HERVH_int
ERV_3321220,ERV_3321220_LTR7_HERVH_int
Clade_63,LTR7-2_HERVH-2_int-2
ERV_2992441,ERV_2992441_LTR7_HERVH_int
ERV_1050009,ERV_1050009_LTR7_HERVH_int
