,ERVmancer,ERVmap,TELEscope
simulated_run_experiment7,0.9492673992673992,0.914768395694203,0.779648095630165
simulated_run_experiment6,0.9470150164815041,0.9126490409538621,0.778214862928064
simulated_run_experiment4,0.9460399816877766,0.9130759613332113,0.7634861098405148
simulated_run_experiment5,0.9467419502517931,0.9145701826609337,0.7628762235843015
simulated_run_experiment1,0.9469523547904648,0.9123136035129449,0.767236910316226
simulated_run_experiment10,0.9467146824549089,0.9126032994846461,0.7604671728722593
simulated_run_experiment9,0.9498229764375534,0.9158204494861708,0.7696154667154576
simulated_run_experiment8,0.9475290742040842,0.9141127679687738,0.7800140273838929
simulated_run_experiment2,0.9459451210206635,0.9142347452200165,0.7625407861433843
simulated_run_experiment3,0.944208759346864,0.9111700667825451,0.7659256548653676
