,Method,FPR
185,ERVmancer,9.120005223938992e-08
186,ERVmancer,0.0
187,ERVmancer,4.723939970213643e-05
188,ERVmancer,1.824000878438823e-07
189,ERVmancer,0.0
190,ERVmancer,2.553595174726558e-06
191,ERVmancer,0.0
192,ERVmancer,0.0
193,ERVmancer,0.0
194,ERVmancer,0.0
195,ERVmancer,0.0
196,ERVmancer,0.0
197,ERVmancer,0.0
198,ERVmancer,0.0
199,ERVmancer,0.0
200,ERVmancer,0.0
201,ERVmancer,0.0
202,ERVmancer,9.120005223938992e-08
203,ERVmancer,5.654371782423057e-06
204,ERVmancer,0.0
205,ERVmancer,3.5567897109187243e-06
206,ERVmancer,0.0
207,ERVmancer,0.0
208,ERVmancer,3.4746015744596174e-05
209,ERVmancer,0.0
210,ERVmancer,0.0
211,ERVmancer,0.0
212,ERVmancer,9.120005223938992e-08
213,ERVmancer,9.575914659448556e-06
214,ERVmancer,0.0
215,ERVmancer,0.0
216,ERVmancer,0.0
217,ERVmancer,0.0
218,ERVmancer,0.0
219,ERVmancer,0.0
220,ERVmancer,0.0
221,ERVmancer,0.0
222,ERVmancer,9.120005223938992e-08
223,ERVmancer,0.0
224,ERVmancer,0.0
225,ERVmancer,0.0
226,ERVmancer,0.0
227,ERVmancer,0.0
228,ERVmancer,0.0
229,ERVmancer,0.0
230,ERVmancer,2.736001068134817e-07
231,ERVmancer,0.0
232,ERVmancer,3.374390854051029e-06
233,ERVmancer,8.207998712985802e-07
234,ERVmancer,1.0943995289704427e-06
235,ERVmancer,0.0
236,ERVmancer,0.0
237,ERVmancer,0.0
238,ERVmancer,0.0
239,ERVmancer,0.0
240,ERVmancer,7.660746399289593e-06
241,ERVmancer,0.0
242,ERVmancer,6.384000163430405e-07
243,ERVmancer,0.0
244,ERVmancer,0.0
245,ERVmancer,9.120005223938992e-08
246,ERVmancer,0.0
247,ERVmancer,0.00011964016396903326
248,ERVmancer,0.0
249,ERVmancer,0.0
250,ERVmancer,0.0
251,ERVmancer,0.000111342875323519
252,ERVmancer,2.9183934207738723e-06
253,ERVmancer,6.384000163430405e-07
254,ERVmancer,9.120005223938992e-08
255,ERVmancer,0.0
256,ERVmancer,1.1855993815913625e-06
257,ERVmancer,0.0
258,ERVmancer,0.0
259,ERVmancer,8.207998712985802e-07
260,ERVmancer,0.0
261,ERVmancer,0.0
262,ERVmancer,2.6173732297619596e-05
263,ERVmancer,0.0
264,ERVmancer,1.824000878438823e-07
265,ERVmancer,0.0
266,ERVmancer,0.0
267,ERVmancer,0.0
268,ERVmancer,0.0
269,ERVmancer,0.0
270,ERVmancer,0.0
271,ERVmancer,0.0
272,ERVmancer,0.0
273,ERVmancer,5.289575532539417e-06
274,ERVmancer,0.0
275,ERVmancer,0.0
276,ERVmancer,0.0
277,ERVmancer,0.0
278,ERVmancer,0.0
279,ERVmancer,0.0
280,ERVmancer,0.0
281,ERVmancer,0.0
282,ERVmancer,5.070466257642976e-05
283,ERVmancer,3.2831914006650834e-06
284,ERVmancer,8.207998712985802e-07
285,ERVmancer,6.383596709894256e-05
286,ERVmancer,0.0
287,ERVmancer,0.0
288,ERVmancer,0.0
289,ERVmancer,0.0
290,ERVmancer,0.0
291,ERVmancer,2.736001068134817e-07
292,ERVmancer,4.286384473000885e-06
293,ERVmancer,2.736001068134817e-07
294,ERVmancer,0.0
295,ERVmancer,0.0
296,ERVmancer,0.0
297,ERVmancer,4.560000948480197e-07
298,ERVmancer,0.0
299,ERVmancer,0.0
300,ERVmancer,6.384000163430405e-07
301,ERVmancer,0.0
302,ERVmancer,5.015978170463002e-06
303,ERVmancer,0.0
304,ERVmancer,0.0
305,ERVmancer,0.0
306,ERVmap,0.0023211134429409626
307,ERVmap,0.00011147964493391127
308,ERVmap,0.0022652369590546216
309,ERVmap,4.755856965527059e-05
310,ERVmap,1.3680007212099803e-07
311,ERVmap,0.0
312,ERVmap,0.0001519162188436112
313,ERVmap,9.120005223938992e-08
314,ERVmap,0.0015310445264099604
315,ERVmap,0.00011558271584730224
316,ERVmap,0.0018828757437186234
317,ERVmap,1.0031996597146755e-06
318,ERVmap,9.25672045885244e-06
319,ERVmap,3.875987550327989e-06
320,ERVmap,0.002320841111325035
