,Method,Value
0,Actual Counts,11.0
1,Actual Counts,11.0
2,Actual Counts,11.0
3,Actual Counts,11.0
4,Actual Counts,11.0
5,Actual Counts,11.0
6,Actual Counts,11.0
7,Actual Counts,11.0
8,Actual Counts,11.0
9,Actual Counts,11.0
10,ERVmap,0.0
11,ERVmap,0.0
12,ERVmap,3.0
13,ERVmap,0.0
14,ERVmap,0.0
15,ERVmap,0.0
16,ERVmap,0.5
17,ERVmap,0.0
18,ERVmap,1.0
19,ERVmap,0.0
20,TELEscope,0.0
21,TELEscope,0.0
22,TELEscope,1.0
23,TELEscope,0.0
24,TELEscope,0.0
25,TELEscope,0.0
26,TELEscope,1.0
27,TELEscope,0.0
28,TELEscope,0.0
29,TELEscope,0.0
