,Method,FNR
176,ERVmancer,0.20833333333333334
177,ERVmancer,0.041666666666666664
178,ERVmancer,0.1625
179,ERVmancer,0.0
180,ERVmancer,0.016666666666666666
181,ERVmancer,0.0
182,ERVmancer,0.011111111111111112
183,ERVmancer,0.04268960125097732
184,ERVmancer,0.0125
185,ERVmancer,0.022222222222222223
186,ERVmancer,0.1206896551724138
187,ERVmancer,0.0
188,ERVmancer,0.1
189,ERVmancer,0.06923076923076923
190,ERVmancer,0.0
191,ERVmancer,0.08333333333333333
192,ERVmancer,0.11666666666666667
193,ERVmancer,0.1625
194,ERVmancer,0.13333333333333333
195,ERVmancer,0.018452597166727206
196,ERVmancer,0.09642857142857143
197,ERVmancer,0.022145359019264448
198,ERVmancer,0.0427417318858874
199,ERVmancer,0.06259259259259259
200,ERVmancer,0.012094653812445224
201,ERVmancer,0.15
202,ERVmancer,0.13333333333333333
203,ERVmancer,0.0
204,ERVmancer,0.04090909090909091
205,ERVmancer,0.007692307692307693
206,ERVmancer,0.18
207,ERVmancer,0.03333333333333333
208,ERVmancer,0.0
209,ERVmancer,0.01881881881881882
210,ERVmancer,0.05454545454545454
211,ERVmancer,0.02279488298693886
212,ERVmancer,0.04375
213,ERVmancer,0.0
214,ERVmancer,0.23333333333333334
215,ERVmancer,0.0698581560283688
216,ERVmancer,0.08333333333333333
217,ERVmancer,0.046153846153846156
218,ERVmancer,0.04
219,ERVmancer,0.03
220,ERVmancer,0.14
221,ERVmancer,0.026271186440677965
222,ERVmancer,0.06666666666666667
223,ERVmancer,0.5
224,ERVmancer,0.14722222222222223
225,ERVmancer,0.06
226,ERVmancer,0.11538461538461539
227,ERVmancer,0.0
228,ERVmancer,0.050253807106598984
229,ERVmancer,0.75
230,ERVmancer,0.017391304347826087
231,ERVmancer,0.021779367733405917
232,ERVmancer,0.0
233,ERVmancer,0.0
234,ERVmancer,0.016666666666666666
235,ERVmancer,0.07058823529411765
236,ERVmancer,0.017987694534925804
237,ERVmancer,0.03542168674698795
238,ERVmancer,0.03571428571428571
239,ERVmancer,0.34444444444444444
240,ERVmancer,0.0
241,ERVmancer,0.034444444444444444
242,ERVmancer,0.0
243,ERVmancer,0.10909090909090909
244,ERVmancer,0.08333333333333333
245,ERVmancer,0.04375
246,ERVmancer,0.1
247,ERVmancer,0.0
248,ERVmancer,0.11428571428571428
249,ERVmancer,0.042701581540057036
250,ERVmancer,0.2375
251,ERVmancer,0.0
252,ERVmancer,0.0
253,ERVmancer,0.03333333333333333
254,ERVmancer,0.022429906542056073
255,ERVmancer,0.022210397698159315
256,ERVmancer,0.004204204204204204
257,ERVmancer,0.475
258,ERVmancer,0.05
259,ERVmancer,0.01411764705882353
260,ERVmancer,0.3
261,ERVmancer,0.07272727272727272
262,ERVmancer,0.0
263,ERVmancer,0.15333333333333332
264,ERVmancer,0.0189873417721519
265,ERVmancer,0.006666666666666667
266,ERVmancer,0.0125
267,ERVmancer,0.18
268,ERVmancer,0.04235528060097216
269,ERVmancer,0.32105263157894737
270,ERVmancer,0.21666666666666667
271,ERVmancer,0.02
272,ERVmancer,0.10588235294117647
273,ERVmancer,0.0
274,ERVmancer,0.07692307692307693
275,ERVmancer,0.01168384879725086
276,ERVmancer,0.16111111111111112
277,ERVmancer,0.02301584488320159
