,Method,Value
0,ERVmancer,87
1,ERVmancer,87
2,ERVmancer,86
3,ERVmancer,85
4,ERVmancer,86
5,ERVmancer,87
6,ERVmancer,89
7,ERVmancer,87
8,ERVmancer,87
9,ERVmancer,88
10,Actual Counts,90
11,Actual Counts,90
12,Actual Counts,90
13,Actual Counts,90
14,Actual Counts,90
15,Actual Counts,90
16,Actual Counts,90
17,Actual Counts,90
18,Actual Counts,90
19,Actual Counts,90
