,ERVmancer,ERVmap,TELEscope
0,0.9646939947496745,0.7973499696970785,0.6231415888383618
1,0.9641595501832382,0.7934090046475092,0.6180032564334611
2,0.9647973409074715,0.7990555566484208,0.6076210399853283
3,0.9650992324352435,0.7960154008798965,0.6040184458692746
4,0.9639747862568938,0.793603613627079,0.6071470468957543
5,0.9641221657764399,0.7958032043095854,0.607500919779512
6,0.9656526581432828,0.8028175468905342,0.6199862751501414
7,0.9654881576123182,0.7961377557702496,0.6295780494042927
8,0.9657167276364111,0.7960215557068139,0.6077794127753217
9,0.9640470205117871,0.7928219108081148,0.6102360745888248
